league,season,date,club_name,home_away,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,wins,draws,loses,pts
EPL,2022,2023-04-22 14:00:00,Aston Villa,a,1.66602,2.03162,1.66602,2.03162,8.3125,9.23076923076923,4,7,1,1,1.1498000000000002,d,0,1,0,1
EPL,2022,2023-04-25 18:45:00,Aston Villa,h,0.839159,0.079864,0.839159,0.079864,15.3125,8.125,7,1,1,0,2.0634,w,1,0,0,3
EPL,2022,2023-04-30 13:00:00,Aston Villa,a,0.434738,1.3056,0.434738,1.3056,23.642857142857142,9.56,4,12,0,1,0.6027,l,0,0,1,0
EPL,2022,2023-05-06 14:00:00,Aston Villa,a,1.50158,0.80605,1.50158,0.80605,7.142857142857143,8.357142857142858,7,2,0,1,1.9155,l,0,0,1,0
EPL,2022,2023-05-13 14:00:00,Aston Villa,h,1.79987,1.18505,1.79987,0.423878,10.423076923076923,8.875,10,6,2,1,1.8896,w,1,0,0,3
EPL,2022,2023-05-20 14:00:00,Aston Villa,a,1.46948,0.918508,0.708313,0.918508,12.681818181818182,3.0789473684210527,2,10,1,1,1.8779,d,0,1,0,1
EPL,2022,2023-05-28 15:30:00,Aston Villa,h,2.55845,1.23117,2.55845,1.23117,8.32258064516129,5.909090909090909,9,3,2,1,2.3253,w,1,0,0,3
EPL,2022,2022-08-06 16:30:00,Everton,h,0.541983,1.92315,0.541983,1.16198,12.0,6.1923076923076925,3,7,0,1,0.3517,l,0,0,1,0
EPL,2022,2022-08-13 11:30:00,Everton,a,1.37507,2.66696,1.37507,2.66696,18.615384615384617,9.304347826086955,4,13,1,2,0.4885,l,0,0,1,0
EPL,2022,2022-08-20 14:00:00,Everton,h,1.43408,0.918315,1.43408,0.918315,18.615384615384617,15.785714285714286,8,1,1,1,1.7744,d,0,1,0,1
EPL,2022,2022-08-27 14:00:00,Everton,a,1.65465,2.28391,1.65465,2.28391,17.4,11.5,7,9,1,1,0.911,d,0,1,0,1
EPL,2022,2022-08-30 19:00:00,Everton,a,1.17189,1.04551,1.17189,1.04551,13.64,5.857142857142857,3,9,1,1,1.4663,d,0,1,0,1
EPL,2022,2022-09-03 11:30:00,Everton,h,1.39169,1.38617,1.39169,1.38617,23.09090909090909,6.083333333333333,10,12,0,0,1.3898,d,0,1,0,1
EPL,2022,2022-09-18 13:15:00,Everton,h,0.39773,0.655351,0.39773,0.655351,15.461538461538462,11.38095238095238,3,2,1,0,1.0071,w,1,0,0,3
EPL,2022,2022-10-01 14:00:00,Everton,a,1.99979,1.95961,1.99979,1.95961,14.4375,9.238095238095235,4,12,2,1,1.4327,w,1,0,0,3
EPL,2022,2022-10-09 18:00:00,Everton,h,0.365844,1.82612,0.365844,1.82612,19.88235294117647,8.782608695652174,7,8,1,2,0.3113,l,0,0,1,0
EPL,2022,2022-10-15 16:30:00,Everton,a,0.560039,2.49409,0.560039,1.73292,25.071428571428573,12.5,0,8,0,2,0.2183,l,0,0,1,0
EPL,2022,2022-10-19 18:30:00,Everton,a,0.0609567,1.13393,0.0609567,1.13393,10.9,9.576923076923077,5,8,0,1,0.3695,l,0,0,1,0
EPL,2022,2022-10-22 14:00:00,Everton,h,1.93396,0.597167,1.93396,0.597167,9.655172413793103,8.583333333333334,5,4,3,0,2.4649,w,1,0,0,3
EPL,2022,2022-10-29 16:30:00,Everton,a,1.19166,1.76438,1.19166,1.76438,22.636363636363637,11.15,2,11,0,0,0.9375,d,0,1,0,1
EPL,2022,2022-11-05 17:30:00,Everton,h,1.3729,2.2679,1.3729,2.2679,22.533333333333335,15.733333333333333,12,11,0,2,0.8298,l,0,0,1,0
EPL,2022,2022-11-12 15:00:00,Everton,a,0.768756,2.45642,0.768756,2.45642,5.5,22.428571428571427,7,8,0,3,0.3039,l,0,0,1,0
EPL,2022,2022-12-26 15:00:00,Everton,h,1.22653,1.22076,1.22653,1.22076,8.590909090909092,9.4,4,6,1,2,1.3318,l,0,0,1,0
EPL,2022,2022-12-31 15:00:00,Everton,a,0.0760019,2.36333,0.0760019,2.36333,33.9,5.0,2,13,1,1,0.076,d,0,1,0,1
EPL,2022,2023-01-03 19:45:00,Everton,h,1.16896,2.50731,0.407788,2.50731,22.333333333333332,21.2,4,4,1,4,0.4971,l,0,0,1,0
EPL,2022,2023-01-14 15:00:00,Everton,h,1.18191,1.08412,1.18191,1.08412,13.071428571428571,6.84,4,8,1,2,1.4442,l,0,0,1,0
EPL,2022,2023-01-21 15:00:00,Everton,a,0.286826,2.46879,0.286826,2.46879,10.526315789473683,21.2,4,3,0,2,0.0847,l,0,0,1,0
EPL,2022,2023-02-04 12:30:00,Everton,h,2.09191,0.690102,2.09191,0.690102,18.0,5.777777777777778,4,11,1,0,2.4711,w,1,0,0,3
EPL,2022,2023-02-13 20:00:00,Everton,a,0.402331,2.23291,0.402331,2.23291,14.407407407407408,10.916666666666666,3,7,0,2,0.2119,l,0,0,1,0
EPL,2022,2023-02-18 15:00:00,Everton,h,1.53811,0.597403,1.53811,0.597403,10.157894736842104,12.117647058823527,7,6,1,0,2.1601,w,1,0,0,3
EPL,2022,2023-02-25 15:00:00,Everton,h,1.54109,2.06037,1.54109,1.2992,7.105263157894737,11.0,9,5,0,2,0.9604,l,0,0,1,0
EPL,2022,2023-03-01 20:00:00,Everton,a,1.604,3.06919,1.604,3.06919,22.0,7.647058823529412,5,13,0,4,0.4507,l,0,0,1,0
EPL,2022,2023-03-05 14:00:00,Everton,a,1.70877,0.799733,0.947603,0.799733,7.909090909090909,6.904761904761905,12,5,2,2,2.1548,d,0,1,0,1
EPL,2022,2023-03-11 15:00:00,Everton,h,1.71599,1.95088,1.71599,1.95088,11.5,6.055555555555555,0,7,1,0,1.1757,w,1,0,0,3
EPL,2022,2023-03-18 17:30:00,Everton,a,1.64675,1.90027,1.64675,1.1391,12.958333333333334,7.133333333333334,1,9,2,2,1.1829,d,0,1,0,1
EPL,2022,2023-04-03 19:00:00,Everton,h,0.823365,1.39177,0.823365,0.630599,12.655172413793103,8.61111111111111,7,9,1,1,0.8078000000000001,d,0,1,0,1
EPL,2022,2023-04-08 11:30:00,Everton,a,0.949183,4.38578,0.949183,4.38578,12.214285714285714,10.642857142857142,4,18,0,2,0.1005,l,0,0,1,0
EPL,2022,2023-04-15 14:00:00,Everton,h,2.24262,1.92209,2.24262,1.92209,13.5625,13.466666666666669,5,8,1,3,1.6252,l,0,0,1,0
EPL,2022,2023-04-22 14:00:00,Everton,a,0.433712,0.368137,0.433712,0.368137,8.818181818181818,9.4375,3,5,0,0,1.3073,d,0,1,0,1
EPL,2022,2023-04-27 18:45:00,Everton,h,0.777008,2.86368,0.777008,2.86368,11.363636363636363,9.0,6,9,1,4,0.178,l,0,0,1,0
EPL,2022,2023-05-01 19:00:00,Everton,a,3.28648,3.32486,2.52531,2.56369,8.692307692307692,7.523809523809524,9,5,2,2,1.3268,d,0,1,0,1
EPL,2022,2023-05-08 16:30:00,Everton,a,2.94223,3.23717,2.94223,3.23717,17.05,3.0588235294117645,10,16,5,1,1.2187,w,1,0,0,3
EPL,2022,2023-05-14 13:00:00,Everton,h,1.18597,1.04338,1.18597,1.04338,25.4,17.153846153846153,1,9,0,3,1.4578,l,0,0,1,0
EPL,2022,2023-05-20 14:00:00,Everton,a,2.46976,1.28976,2.46976,1.28976,9.03125,8.19047619047619,9,6,1,1,2.217,d,0,1,0,1
EPL,2022,2023-05-28 15:30:00,Everton,h,1.12933,0.432084,1.12933,0.432084,13.884615384615383,7.45,4,4,1,0,2.016,w,1,0,0,3
EPL,2022,2022-08-06 14:00:00,Bournemouth,h,0.588341,0.488895,0.588341,0.488895,11.68,6.608695652173913,3,11,2,0,1.4036,w,1,0,0,3
EPL,2022,2022-08-13 14:00:00,Bournemouth,a,0.123946,1.69064,0.123946,1.69064,51.166666666666664,12.157894736842104,0,11,0,4,0.2243,l,0,0,1,0
EPL,2022,2022-08-20 16:30:00,Bournemouth,h,0.211335,1.71081,0.211335,1.71081,15.652173913043478,8.72,1,8,0,3,0.242,l,0,0,1,0
EPL,2022,2022-08-27 14:00:00,Bournemouth,a,0.180991,4.86035,0.180991,4.86035,29.583333333333332,8.88888888888889,4,18,0,9,0.0017,l,0,0,1,0
EPL,2022,2022-08-31 18:30:00,Bournemouth,h,0.362035,1.53246,0.362035,1.53246,17.61111111111111,6.833333333333333,7,14,0,0,0.4185,d,0,1,0,1
EPL,2022,2022-09-03 14:00:00,Bournemouth,a,0.905041,1.32895,0.905041,0.567779,15.6875,13.647058823529411,10,6,3,2,0.9244,w,1,0,0,3
EPL,2022,2022-09-17 14:00:00,Bournemouth,a,0.976948,1.54758,0.976948,0.786407,20.357142857142858,4.241379310344827,5,18,1,1,0.8562000000000001,d,0,1,0,1
EPL,2022,2022-10-01 14:00:00,Bournemouth,h,0.758128,1.046,0.758128,1.046,19.0625,7.64,6,9,0,0,1.0694,d,0,1,0,1
EPL,2022,2022-10-08 14:00:00,Bournemouth,h,1.14891,1.18125,1.14891,1.18125,37.55555555555556,8.678571428571429,7,8,2,1,1.2888,w,1,0,0,3
EPL,2022,2022-10-15 14:00:00,Bournemouth,a,1.62829,1.61738,1.62829,0.856206,14.95,8.25,4,8,2,2,1.3628,d,0,1,0,1
EPL,2022,2022-10-19 18:30:00,Bournemouth,h,0.810452,1.23878,0.810452,1.23878,11.761904761904765,13.65,8,6,0,1,0.9384,l,0,0,1,0
EPL,2022,2022-10-24 19:00:00,Bournemouth,a,0.730443,1.97715,0.730443,1.21598,15.68421052631579,11.318181818181818,4,7,0,2,0.4172,l,0,0,1,0
EPL,2022,2022-10-29 14:00:00,Bournemouth,h,0.887533,2.1946,0.887533,2.1946,20.5625,18.4,3,10,2,3,0.5073,l,0,0,1,0
EPL,2022,2022-11-05 15:00:00,Bournemouth,a,1.55594,2.22532,1.55594,1.46415,15.384615384615383,4.757575757575758,5,8,3,4,0.8761000000000001,l,0,0,1,0
EPL,2022,2022-11-12 15:00:00,Bournemouth,h,2.45642,0.768756,2.45642,0.768756,22.428571428571427,5.5,8,7,3,0,2.5623,w,1,0,0,3
EPL,2022,2022-12-27 17:30:00,Bournemouth,a,0.44307,1.91378,0.44307,1.91378,15.291666666666666,10.470588235294118,4,7,0,2,0.3364,l,0,0,1,0
EPL,2022,2022-12-31 15:00:00,Bournemouth,h,0.895819,1.75264,0.895819,1.75264,7.05,9.73076923076923,8,8,0,2,0.639,l,0,0,1,0
EPL,2022,2023-01-03 20:00:00,Bournemouth,a,0.679022,2.97383,0.679022,2.97383,24.071428571428573,10.761904761904765,2,13,0,3,0.1705,l,0,0,1,0
EPL,2022,2023-01-14 17:30:00,Bournemouth,a,0.269283,1.29815,0.269283,0.536983,10.142857142857142,13.0,2,3,0,2,0.3588,l,0,0,1,0
EPL,2022,2023-01-21 15:00:00,Bournemouth,h,1.80549,1.57544,1.80549,1.57544,19.5,10.0,10,5,1,1,1.5412,d,0,1,0,1
EPL,2022,2023-02-04 15:00:00,Bournemouth,a,0.908298,2.55696,0.908298,2.55696,23.266666666666666,6.947368421052632,2,15,0,1,0.3349,l,0,0,1,0
EPL,2022,2023-02-11 17:30:00,Bournemouth,h,1.54458,1.54853,1.54458,1.54853,15.5,4.592592592592593,4,6,1,1,1.3287,d,0,1,0,1
EPL,2022,2023-02-18 15:00:00,Bournemouth,a,1.15274,0.911415,1.15274,0.911415,21.235294117647054,6.6,4,11,1,0,1.6663,w,1,0,0,3
EPL,2022,2023-02-25 17:30:00,Bournemouth,h,1.08527,2.98206,1.08527,2.98206,32.357142857142854,7.571428571428571,4,15,1,4,0.2773,l,0,0,1,0
EPL,2022,2023-03-04 15:00:00,Bournemouth,a,1.74267,2.46279,1.74267,2.46279,14.2,4.0,3,31,2,3,0.9178,l,0,0,1,0
EPL,2022,2023-03-11 12:30:00,Bournemouth,h,1.10128,2.13465,1.10128,1.37349,27.53846153846154,5.0,1,12,1,0,0.5911,w,1,0,0,3
EPL,2022,2023-03-18 15:00:00,Bournemouth,a,0.50014,3.45474,0.50014,3.45474,7.771428571428571,8.24,5,16,0,3,0.0734,l,0,0,1,0
EPL,2022,2023-04-01 14:00:00,Bournemouth,h,3.14054,0.601049,3.14054,0.601049,12.041666666666666,7.038461538461538,10,6,2,1,2.8838999999999997,w,1,0,0,3
EPL,2022,2023-04-04 18:45:00,Bournemouth,h,1.15322,2.63392,1.15322,2.63392,11.5,11.0,7,13,0,2,0.4467,l,0,0,1,0
EPL,2022,2023-04-08 14:00:00,Bournemouth,a,1.92396,0.731965,1.92396,0.731965,10.681818181818182,12.176470588235292,7,5,1,0,2.2461,w,1,0,0,3
EPL,2022,2023-04-15 14:00:00,Bournemouth,a,1.20598,2.30604,1.20598,2.30604,13.157894736842104,8.909090909090908,5,8,3,2,0.6973,w,1,0,0,3
EPL,2022,2023-04-23 13:00:00,Bournemouth,h,0.974687,2.52322,0.974687,2.52322,9.352941176470589,14.0,8,8,0,4,0.4367999999999999,l,0,0,1,0
EPL,2022,2023-04-27 18:45:00,Bournemouth,a,0.988554,0.477034,0.988554,0.477034,10.22222222222222,7.884615384615385,5,5,1,0,1.7941,w,1,0,0,3
EPL,2022,2023-04-30 13:00:00,Bournemouth,h,2.51723,1.33691,2.51723,1.33691,12.55,6.870967741935484,8,9,4,1,2.206500000000001,w,1,0,0,3
EPL,2022,2023-05-06 14:00:00,Bournemouth,h,1.21755,1.76852,1.21755,1.76852,19.3125,6.3478260869565215,9,13,1,3,0.9385,l,0,0,1,0
EPL,2022,2023-05-13 14:00:00,Bournemouth,a,0.262022,1.40237,0.262022,1.40237,13.347826086956522,14.31578947368421,5,9,0,2,0.3864999999999999,l,0,0,1,0
EPL,2022,2023-05-20 14:00:00,Bournemouth,h,0.815723,1.71783,0.815723,1.71783,20.0,13.227272727272728,8,12,0,1,0.6884,l,0,0,1,0
