league,season,date,club_name,home_away,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,wins,draws,loses,pts
EPL,2020,2021-04-25 18:00:00,Aston Villa,h,2.65394,1.56764,1.89277,0.806474,4.944444444444445,16.142857142857142,11,3,2,2,2.1587,d,0,1,0,1
EPL,2020,2021-05-01 19:00:00,Aston Villa,a,1.58811,1.223,1.58811,1.223,10.863636363636363,15.941176470588236,6,8,2,1,1.6749,w,1,0,0,3
EPL,2020,2021-05-09 13:05:00,Aston Villa,h,0.565472,1.88793,0.565472,1.1268,12.608695652173912,9.28,8,14,1,3,0.3892,l,0,0,1,0
EPL,2020,2021-05-13 21:00:00,Aston Villa,h,0.558976,0.975408,0.558976,0.975408,16.5,14.904761904761903,5,8,0,0,0.9441,d,0,1,0,1
EPL,2020,2021-05-16 11:00:00,Aston Villa,a,1.2303,1.95285,1.2303,1.95285,7.823529411764706,7.038461538461538,13,9,2,3,0.7758999999999999,l,0,0,1,0
EPL,2020,2021-05-19 17:00:00,Aston Villa,a,1.63669,0.89279,1.63669,0.89279,10.133333333333333,9.0,10,11,2,1,1.9508,w,1,0,0,3
EPL,2020,2021-05-23 15:00:00,Aston Villa,h,0.980413,3.43414,0.219244,3.43414,18.375,6.333333333333333,5,19,2,1,0.1707,w,1,0,0,3
EPL,2020,2020-09-13 15:30:00,Everton,a,1.26793,0.822944,1.26793,0.822944,16.263157894736842,11.333333333333334,5,9,1,0,1.7446000000000002,w,1,0,0,3
EPL,2020,2020-09-19 11:30:00,Everton,h,4.16254,0.315347,4.16254,0.315347,9.095238095238097,41.5,6,6,5,2,2.9941,w,1,0,0,3
EPL,2020,2020-09-26 14:00:00,Everton,a,2.27189,0.443115,1.51072,0.443115,7.304347826086956,12.03448275862069,3,4,2,1,2.696400000000001,w,1,0,0,3
EPL,2020,2020-10-03 14:00:00,Everton,h,2.34034,1.16568,2.34034,1.16568,9.06060606060606,9.166666666666666,10,7,4,2,2.2643,w,1,0,0,3
EPL,2020,2020-10-17 11:30:00,Everton,h,1.35998,2.49492,1.35998,2.49492,14.1,8.72,2,13,2,2,0.6754,d,0,1,0,1
EPL,2020,2020-10-25 14:00:00,Everton,a,0.287054,0.74151,0.287054,0.74151,11.685714285714283,13.875,6,6,0,2,0.8175000000000001,l,0,0,1,0
EPL,2020,2020-11-01 14:00:00,Everton,a,1.21805,2.6311,1.21805,1.86993,8.791666666666666,34.25,8,5,1,2,0.3914999999999999,l,0,0,1,0
EPL,2020,2020-11-07 12:30:00,Everton,h,0.376464,1.59642,0.376464,1.59642,12.7,12.26923076923077,9,7,1,3,0.4138,l,0,0,1,0
EPL,2020,2020-11-22 12:00:00,Everton,a,2.2508,1.87028,2.2508,1.10911,13.61904761904762,10.592592592592592,9,9,3,2,1.6539,w,1,0,0,3
EPL,2020,2020-11-28 17:30:00,Everton,h,1.29229,3.11324,1.29229,3.11324,16.36842105263158,6.40625,6,12,0,1,0.3686999999999999,l,0,0,1,0
EPL,2020,2020-12-05 12:30:00,Everton,a,2.28139,0.730434,2.28139,0.730434,7.5,16.391304347826086,10,6,1,1,2.5509000000000004,d,0,1,0,1
EPL,2020,2020-12-12 20:00:00,Everton,h,1.2216,1.00627,0.460428,1.00627,18.75,4.12,2,6,1,0,1.5519,w,1,0,0,3
EPL,2020,2020-12-16 18:00:00,Everton,a,1.51486,0.83883,1.51486,0.83883,26.692307692307693,6.964285714285714,3,6,2,0,2.0143,w,1,0,0,3
EPL,2020,2020-12-19 17:30:00,Everton,h,0.661744,1.25206,0.661744,0.490894,31.3,13.470588235294118,1,11,2,1,0.7474999999999999,w,1,0,0,3
EPL,2020,2020-12-26 20:00:00,Everton,a,0.568803,1.25106,0.568803,1.25106,11.166666666666666,10.766666666666667,8,3,1,0,0.6396,w,1,0,0,3
EPL,2020,2021-01-01 17:30:00,Everton,h,0.371045,1.19713,0.371045,1.19713,11.22222222222222,17.4,5,4,0,1,0.5598000000000001,l,0,0,1,0
EPL,2020,2021-01-12 20:15:00,Everton,a,0.323445,0.852495,0.323445,0.852495,18.444444444444443,15.095238095238097,9,4,2,1,0.7932,w,1,0,0,3
EPL,2020,2021-01-27 20:15:00,Everton,h,0.474981,0.792045,0.474981,0.792045,24.357142857142858,6.24,2,8,1,1,1.0066000000000002,d,0,1,0,1
EPL,2020,2021-01-30 12:30:00,Everton,h,0.966012,2.08832,0.966012,2.08832,6.7,28.181818181818183,9,5,0,2,0.6102,l,0,0,1,0
EPL,2020,2021-02-03 19:30:00,Everton,a,1.91539,1.14303,1.91539,1.14303,14.55,5.612903225806452,2,10,2,1,2.0048000000000004,w,1,0,0,3
EPL,2020,2021-02-06 20:00:00,Everton,a,1.5571,1.71769,1.5571,1.71769,35.1,10.666666666666666,3,6,3,3,1.2441,d,0,1,0,1
EPL,2020,2021-02-14 19:00:00,Everton,h,0.314075,2.55085,0.314075,2.55085,13.136363636363637,11.766666666666667,1,9,0,2,0.0684999999999999,l,0,0,1,0
EPL,2020,2021-02-17 20:15:00,Everton,h,1.04664,1.23218,1.04664,1.23218,27.0,10.176470588235292,2,9,1,3,1.2189,l,0,0,1,0
EPL,2020,2021-02-20 17:30:00,Everton,a,2.01468,1.54046,1.25352,1.54046,21.055555555555557,6.5,1,14,2,0,1.7409,w,1,0,0,3
EPL,2020,2021-03-01 20:00:00,Everton,h,1.42054,0.665743,1.42054,0.665743,10.185185185185183,8.03225806451613,5,3,1,0,2.0606,w,1,0,0,3
EPL,2020,2021-03-04 18:00:00,Everton,a,1.40789,1.02038,1.40789,1.02038,11.80952380952381,16.57894736842105,8,7,1,0,1.6999999999999995,w,1,0,0,3
EPL,2020,2021-03-08 18:00:00,Everton,a,0.270757,2.57224,0.270757,1.81107,18.192307692307693,9.125,0,6,0,2,0.0907,l,0,0,1,0
